639-1 ,639-2/T ,639-2/B ,Language name ,Native name 
aa ,aar ,aar ,Afar ,Afaraf 
ab ,abk ,abk ,Abkhaz ,"аҧсуа бызшәа, аҧсшәа "
ae ,ave ,ave ,Avestan ,avesta 
af ,afr ,afr ,Afrikaans ,Afrikaans 
ak ,aka ,aka ,Akan ,Akan 
am ,amh ,amh ,Amharic ,አማርኛ 
an ,arg ,arg ,Aragonese ,aragonés 
ar ,ara ,ara ,Arabic ,العربية 
as ,asm ,asm ,Assamese ,অসমীয়া 
av ,ava ,ava ,Avaric ,"авар мацӀ, магӀарул мацӀ "
ay ,aym ,aym ,Aymara ,aymar aru 
az ,aze ,aze ,Azerbaijani ,azərbaycan dili 
az ,azb ,azb ,South Azerbaijani ,تورکجه‎ 
ba ,bak ,bak ,Bashkir ,башҡорт теле 
be ,bel ,bel ,Belarusian ,беларуская мова 
bg ,bul ,bul ,Bulgarian ,български език 
bh ,bih ,bih ,Bihari ,भोजपुरी 
bi ,bis ,bis ,Bislama ,Bislama 
bm ,bam ,bam ,Bambara ,bamanankan 
bn ,ben ,ben ,Bengali; Bangla ,বাংলা 
bo ,bod ,tib ,"Tibetan Standard, Tibetan, Central ",བོད་ཡིག 
br ,bre ,bre ,Breton ,brezhoneg 
bs ,bos ,bos ,Bosnian ,bosanski jezik 
ca ,cat ,cat ,Catalan; Valencian ,"català, valencià "
ce ,che ,che ,Chechen ,нохчийн мотт 
ch ,cha ,cha ,Chamorro ,Chamoru 
co ,cos ,cos ,Corsican ,"corsu, lingua corsa "
cr ,cre ,cre ,Cree ,ᓀᐦᐃᔭᐍᐏᐣ 
cs ,ces ,cze ,Czech ,"čeština, český jazyk "
cu ,chu ,chu ,"Old Church Slavonic, Church Slavonic, Old Bulgarian ",ѩзыкъ словѣньскъ 
cv ,chv ,chv ,Chuvash ,чӑваш чӗлхи 
cy ,cym ,wel ,Welsh ,Cymraeg 
da ,dan ,dan ,Danish ,dansk 
de ,deu ,ger ,German ,Deutsch 
dv ,div ,div ,Divehi; Dhivehi; Maldivian; ,ދިވެހި 
dz ,dzo ,dzo ,Dzongkha ,རྫོང་ཁ 
ee ,ewe ,ewe ,Ewe ,Eʋegbe 
el ,ell ,gre ,"Greek, Modern ",ελληνικά 
en ,eng ,eng ,English ,English 
eo ,epo ,epo ,Esperanto ,Esperanto 
es ,spa ,spa ,Spanish; Castilian ,"español, castellano "
et ,est ,est ,Estonian ,"eesti, eesti keel "
eu ,eus ,baq ,Basque ,"euskara, euskera "
fa ,fas ,per ,Persian (Farsi) ,فارسی 
ff ,ful ,ful ,Fula; Fulah; Pulaar; Pular ,"Fulfulde, Pulaar, Pular "
fi ,fin ,fin ,Finnish ,"suomi, suomen kieli "
fj ,fij ,fij ,Fijian ,vosa Vakaviti 
fo ,fao ,fao ,Faroese ,føroyskt 
fr ,fra ,fre ,French ,"français, langue française "
fy ,fry ,fry ,Western Frisian ,Frysk 
ga ,gle ,gle ,Irish ,Gaeilge 
gd ,gla ,gla ,Scottish Gaelic; Gaelic ,Gàidhlig 
gl ,glg ,glg ,Galician ,galego 
gn ,grn ,grn ,Guaraní ,Avañe'ẽ 
gu ,guj ,guj ,Gujarati ,ગુજરાતી 
gv ,glv ,glv ,Manx ,"Gaelg, Gailck "
ha ,hau ,hau ,Hausa ,"Hausa, هَوُسَ "
he ,heb ,heb ,Hebrew (modern) ,עברית 
hi ,hin ,hin ,Hindi ,"हिन्दी, हिंदी "
ho ,hmo ,hmo ,Hiri Motu ,Hiri Motu 
hr ,hrv ,hrv ,Croatian ,hrvatski jezik 
ht ,hat ,hat ,Haitian; Haitian Creole ,Kreyòl ayisyen 
hu ,hun ,hun ,Hungarian ,magyar 
hy ,hye ,arm ,Armenian ,Հայերեն 
hz ,her ,her ,Herero ,Otjiherero 
ia ,ina ,ina ,Interlingua ,Interlingua 
id ,ind ,ind ,Indonesian ,Bahasa Indonesia 
